epoch,train_loss,test_loss,learning_rate
0,0.45635224908005956,0.8046067953109741,0.001
1,0.13704675940029762,0.27587607502937317,0.001
2,0.1064785601315545,0.2632509469985962,0.001
3,0.09400249557460055,0.4338887333869934,0.001
4,0.0794756389862182,0.6342843174934387,0.001
5,0.07583400534064162,0.21014459431171417,0.001
6,0.06811531512614559,0.43375933170318604,0.001
7,0.06603950072152942,0.14830416440963745,0.001
8,0.07362103527959656,0.20337381958961487,0.001
9,0.0664328942257984,0.16764245927333832,0.001
10,0.05892309966478862,0.254557341337204,0.001
11,0.06526796322535067,0.2911149263381958,0.001
12,0.06602552178881917,0.0980410948395729,0.001
13,0.05770439734938098,0.14287221431732178,0.001
14,0.05844278158802612,0.0821290984749794,0.001
15,0.05548693285341941,0.11081727594137192,0.001
16,0.05710087789624345,0.07671049237251282,0.001
17,0.05975595098354068,0.1159515231847763,0.001
18,0.059879094070079276,0.1282806098461151,0.001
19,0.05313227522899123,0.055230747908353806,0.001
20,0.06554334059211553,0.1199992224574089,0.001
21,0.05920189396277362,0.2192770093679428,0.001
22,0.05607397722847322,0.05822662636637688,0.001
23,0.04704483832214393,0.06344304233789444,0.001
24,0.05260472894445354,0.11502791941165924,0.001
25,0.04766456715251301,0.14196190237998962,0.001
26,0.057848963959544315,0.05378668010234833,0.001
27,0.05655082355381227,0.09844811260700226,0.001
28,0.048109753349540284,0.04698159545660019,0.001
29,0.051372659228303856,0.07460938394069672,0.001
30,0.06310221070752424,0.04262169077992439,0.001
31,0.055379898305617126,0.0668572336435318,0.001
32,0.04575783644309815,0.0587986595928669,0.001
33,0.05357948000378469,0.14337293803691864,0.001
34,0.047951111588261874,0.0602392740547657,0.001
35,0.0527882009890734,0.06153205782175064,0.001
36,0.049420121874587206,0.05445288121700287,0.001
37,0.04578221154709657,0.05898631364107132,0.001
38,0.04830787060599701,0.088994100689888,0.001
39,0.04591806183623917,0.048240672796964645,0.001
40,0.047657145881185345,0.09125594794750214,0.001
41,0.05148858737711813,0.078534796833992,0.0005
42,0.04690743343648957,0.04695165529847145,0.0005
43,0.04560666085750449,0.07692412286996841,0.0005
44,0.039734315875844625,0.05312826856970787,0.0005
45,0.0444584134966135,0.06631558388471603,0.0005
46,0.04275979680538762,0.04632562771439552,0.0005
47,0.04622773676380223,0.04258248955011368,0.0005
48,0.051666406220665165,0.04021163284778595,0.0005
49,0.04961946391153569,0.06892617791891098,0.0005
50,0.047284691156271624,0.09156560897827148,0.0005
51,0.045523691246760825,0.04249163344502449,0.0005
52,0.04371516185575256,0.0766376331448555,0.0005
53,0.04591757015270345,0.04531894624233246,0.0005
54,0.042162259748461196,0.05893154442310333,0.0005
55,0.043997014598811376,0.04447096213698387,0.0005
56,0.04291970370446935,0.07602520287036896,0.0005
57,0.05229363975790786,0.04002545401453972,0.0005
58,0.043487493460084875,0.047230955213308334,0.0005
59,0.04145823378919387,0.08979269862174988,0.0005
60,0.0375502732235427,0.04879133775830269,0.0005
61,0.0434042581850115,0.04578842595219612,0.0005
62,0.03707979369324212,0.06079557538032532,0.0005
63,0.04572512943516759,0.05316275730729103,0.0005
64,0.043080400584229066,0.048381030559539795,0.0005
65,0.03959882321457068,0.04353206604719162,0.0005
66,0.04534483098370187,0.19761547446250916,0.0005
67,0.04626497790655669,0.06594235450029373,0.0005
68,0.04062811234125904,0.05773426219820976,0.00025
69,0.04172108826391837,0.03817909210920334,0.00025
70,0.03641446022426381,0.04022226855158806,0.00025
71,0.04264938307232132,0.05035983771085739,0.00025
72,0.046646990265478104,0.04444422200322151,0.00025
73,0.039394963167461695,0.05480795353651047,0.00025
74,0.042509755174465036,0.04365699365735054,0.00025
75,0.04321858184594734,0.0627630203962326,0.00025
76,0.038390880651479845,0.041719600558280945,0.00025
77,0.038116763674599284,0.049570854753255844,0.00025
78,0.038693940413056634,0.04272713512182236,0.00025
79,0.04118388197293468,0.039793744683265686,0.00025
80,0.04248931103696426,0.03998749703168869,0.000125
81,0.03904554359249625,0.041082050651311874,0.000125
82,0.03988022912366718,0.03910314291715622,0.000125
83,0.037748919690356535,0.038742754608392715,0.000125
84,0.042282264551841746,0.049428828060626984,0.000125
85,0.038587319317693804,0.040587857365608215,0.000125
86,0.04566851539500788,0.04249845817685127,0.000125
87,0.036705579097364466,0.0453321747481823,0.000125
88,0.03644859746061996,0.04837967827916145,0.000125
89,0.03989802828679482,0.039956919848918915,0.000125
